GET http://10.0.2.2/ name=http://10.0.2.2/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=302 len=0 notes=3 sig=0x39868d9f
GET http://10.0.2.2/kryptografia/ name=kryptografia type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1058 notes=5 sig=0xa0192d09
GET http://10.0.2.2/kryptografia/0/ name=0 type=dir linked=no browsers=7 browser_used=FAST dup=0 returns_404 code=404 len=332 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/09/ name=09 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=333 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/101/ name=101 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=334 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/1998/ name=1998 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=335 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/_admin/ name=_admin type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=337 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/_www/ name=_www type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=335 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/access_log.1/ name=access_log.1 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=343 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/accounting/ name=accounting type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=341 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/admin_/ name=admin_ type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=337 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/advertising/ name=advertising type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=342 notes=0 sig=0xfffbffff
GET http://10.0.2.2/kryptografia/alcatel/ name=alcatel type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=338 notes=0 sig=0xfffbffff
